wavelength / nm;Absorption cross section 1/m²;Emission cross section 1/m²;;;;
750;1,421363773E-30;1,40385E-39;;;;
750,2;1,474056128E-30;1,51119E-39;;;;
750,4;1,528587127E-30;1,62654E-39;;;;
750,6;1,585016616E-30;1,75048E-39;;;;
750,8;1,643406235E-30;1,88362E-39;;;;
751;1,703819467E-30;2,02665E-39;;;;
751,2;1,766321688E-30;2,18026E-39;;;;
751,4;1,830980218E-30;2,34523E-39;;;;
751,6;1,897864371E-30;2,52236E-39;;;;
751,8;1,967045512E-30;2,71255E-39;;;;
752;2,038597109E-30;2,91671E-39;;;;
752,2;2,112594789E-30;3,13586E-39;;;;
752,4;2,189116397E-30;3,37105E-39;;;;
752,6;2,268242053E-30;3,62345E-39;;;;
752,8;2,350054212E-30;3,89426E-39;;;;
753;2,434637724E-30;4,18481E-39;;;;
753,2;2,522079900E-30;4,49648E-39;;;;
753,4;2,612470574E-30;4,83077E-39;;;;
753,6;2,705902167E-30;5,18929E-39;;;;
753,8;2,802469756E-30;5,57374E-39;;;;
754;2,902271142E-30;5,98595E-39;;;;
754,2;3,005406920E-30;6,42786E-39;;;;
754,4;3,111980550E-30;6,90156E-39;;;;
754,6;3,222098430E-30;7,40928E-39;;;;
754,8;3,335869972E-30;7,95338E-39;;;;
755;3,453407676E-30;8,53641E-39;;;;
755,2;3,574827212E-30;9,16108E-39;;;;
755,4;3,700247494E-30;9,83029E-39;;;;
755,6;3,829790766E-30;1,05471E-38;;;;
755,8;3,963582684E-30;1,13148E-38;;;;
756;4,101752400E-30;1,2137E-38;;;;
756,2;4,244432649E-30;1,30173E-38;;;;
756,4;4,391759839E-30;1,39599E-38;;;;
756,6;4,543874139E-30;1,49689E-38;;;;
756,8;4,700919574E-30;1,60489E-38;;;;
757;4,863044116E-30;1,72048E-38;;;;
757,2;5,030399783E-30;1,84418E-38;;;;
757,4;5,203142738E-30;1,97653E-38;;;;
757,6;5,381433386E-30;2,11813E-38;;;;
757,8;5,565436478E-30;2,26961E-38;;;;
758;5,755321215E-30;2,43164E-38;;;;
758,2;5,951261356E-30;2,60492E-38;;;;
758,4;6,153435325E-30;2,79022E-38;;;;
758,6;6,362026321E-30;2,98836E-38;;;;
758,8;6,577222434E-30;3,20019E-38;;;;
759;6,799216758E-30;3,42663E-38;;;;
759,2;7,028207509E-30;3,66866E-38;;;;
759,4;7,264398146E-30;3,92733E-38;;;;
759,6;7,507997491E-30;4,20375E-38;;;;
759,8;7,759219857E-30;4,4991E-38;;;;
760;8,018285171E-30;4,81464E-38;;;;
760,2;8,285419107E-30;5,1517E-38;;;;
760,4;8,560853217E-30;5,51173E-38;;;;
760,6;8,844825063E-30;5,89623E-38;;;;
760,8;9,137578358E-30;6,30682E-38;;;;
761;9,439363103E-30;6,74522E-38;;;;
761,2;9,750435731E-30;7,21327E-38;;;;
761,4;1,007105925E-29;7,7129E-38;;;;
761,6;1,040150340E-29;8,24619E-38;;;;
761,8;1,074204477E-29;8,81533E-38;;;;
762;1,109296701E-29;9,42267E-38;;;;
762,2;1,145456093E-29;1,00707E-37;;;;
762,4;1,182712469E-29;1,07621E-37;;;;
762,6;1,221096395E-29;1,14996E-37;;;;
762,8;1,260639205E-29;1,22862E-37;;;;
763;1,301373015E-29;1,31252E-37;;;;
763,2;1,343330742E-29;1,40198E-37;;;;
763,4;1,386546121E-29;1,49737E-37;;;;
763,6;1,431053724E-29;1,59908E-37;;;;
763,8;1,476888975E-29;1,70749E-37;;;;
764;1,524088170E-29;1,82305E-37;;;;
764,2;1,572688496E-29;1,94621E-37;;;;
764,4;1,622728049E-29;2,07745E-37;;;;
764,6;1,674245854E-29;2,21729E-37;;;;
764,8;1,727281883E-29;2,36628E-37;;;;
765;1,781877079E-29;2,52499E-37;;;;
765,2;1,838073369E-29;2,69405E-37;;;;
765,4;1,895913691E-29;2,87411E-37;;;;
765,6;1,955442015E-29;3,06585E-37;;;;
765,8;2,016703358E-29;3,27002E-37;;;;
766;2,079743811E-29;3,48739E-37;;;;
766,2;2,144610560E-29;3,7188E-37;;;;
766,4;2,211351908E-29;3,96512E-37;;;;
766,6;2,280017297E-29;4,22729E-37;;;;
766,8;2,350657332E-29;4,50629E-37;;;;
767;2,423323801E-29;4,80316E-37;;;;
767,2;2,498069706E-29;5,11903E-37;;;;
767,4;2,574949280E-29;5,45506E-37;;;;
767,6;2,654018013E-29;5,81251E-37;;;;
767,8;2,735332682E-29;6,1927E-37;;;;
768;2,818951368E-29;6,59702E-37;;;;
768,2;2,904933489E-29;7,02697E-37;;;;
768,4;2,993339822E-29;7,48411E-37;;;;
768,6;3,084232528E-29;7,97012E-37;;;;
768,8;3,177675185E-29;8,48675E-37;;;;
769;3,273732809E-29;9,03588E-37;;;;
769,2;3,372471883E-29;9,61949E-37;;;;
769,4;3,473960388E-29;1,02397E-36;;;;
769,6;3,578267827E-29;1,08986E-36;;;;
769,8;3,685465259E-29;1,15988E-36;;;;
770;3,795625323E-29;1,23425E-36;;;;
770,2;3,908822269E-29;1,31325E-36;;;;
770,4;4,025131990E-29;1,39716E-36;;;;
770,6;4,144632053E-29;1,48626E-36;;;;
770,8;4,267401726E-29;1,58088E-36;;;;
771;4,393522010E-29;1,68133E-36;;;;
771,2;4,523075677E-29;1,78798E-36;;;;
771,4;4,656147291E-29;1,90119E-36;;;;
771,6;4,792823253E-29;2,02134E-36;;;;
771,8;4,933191822E-29;2,14886E-36;;;;
772;5,077343159E-29;2,28418E-36;;;;
772,2;5,225369354E-29;2,42776E-36;;;;
772,4;5,377364460E-29;2,58008E-36;;;;
772,6;5,533424535E-29;2,74167E-36;;;;
772,8;5,693647668E-29;2,91307E-36;;;;
773;5,858134020E-29;3,09486E-36;;;;
773,2;6,026985859E-29;3,28763E-36;;;;
773,4;6,200307598E-29;3,49204E-36;;;;
773,6;6,378205826E-29;3,70877E-36;;;;
773,8;6,560789352E-29;3,93852E-36;;;;
774;6,748169242E-29;4,18207E-36;;;;
774,2;6,940458853E-29;4,44021E-36;;;;
774,4;7,137773874E-29;4,71378E-36;;;;
774,6;7,340232368E-29;5,00367E-36;;;;
774,8;7,547954806E-29;5,31084E-36;;;;
775;7,761064112E-29;5,63626E-36;;;;
775,2;7,979685700E-29;5,981E-36;;;;
775,4;8,203947518E-29;6,34616E-36;;;;
775,6;8,433980088E-29;6,7329E-36;;;;
775,8;8,669916544E-29;7,14246E-36;;;;
776;8,911892682E-29;7,57614E-36;;;;
776,2;9,160046997E-29;8,03531E-36;;;;
776,4;9,414520727E-29;8,52142E-36;;;;
776,6;9,675457898E-29;9,03599E-36;;;;
776,8;9,943005367E-29;9,58064E-36;;;;
777;1,021731287E-28;1,01571E-35;;;;
777,2;1,049853305E-28;1,0767E-35;;;;
777,4;1,078682154E-28;1,14125E-35;;;;
777,6;1,108233697E-28;1,20953E-35;;;;
777,8;1,138524102E-28;1,28177E-35;;;;
778;1,169569850E-28;1,35819E-35;;;;
778,2;1,201387734E-28;1,43901E-35;;;;
778,4;1,233994870E-28;1,52448E-35;;;;
778,6;1,267408696E-28;1,61487E-35;;;;
778,8;1,301646981E-28;1,71043E-35;;;;
779;1,336727830E-28;1,81147E-35;;;;
779,2;1,372669684E-28;1,91828E-35;;;;
779,4;1,409491331E-28;2,03117E-35;;;;
779,6;1,447211907E-28;2,15049E-35;;;;
779,8;1,485850902E-28;2,27659E-35;;;;
780;1,525428168E-28;2,40984E-35;;;;
780,2;1,565963918E-28;2,55062E-35;;;;
780,4;1,607478738E-28;2,69936E-35;;;;
780,6;1,649993587E-28;2,85647E-35;;;;
780,8;1,693529805E-28;3,02243E-35;;;;
781;1,738109117E-28;3,1977E-35;;;;
781,2;1,783753639E-28;3,3828E-35;;;;
781,4;1,830485883E-28;3,57825E-35;;;;
781,6;1,878328763E-28;3,7846E-35;;;;
781,8;1,927305600E-28;4,00246E-35;;;;
782;1,977440126E-28;4,23243E-35;;;;
782,2;2,028756494E-28;4,47516E-35;;;;
782,4;2,081279277E-28;4,73134E-35;;;;
782,6;2,135033479E-28;5,00168E-35;;;;
782,8;2,190044538E-28;5,28694E-35;;;;
783;2,246338333E-28;5,58791E-35;;;;
783,2;2,303941189E-28;5,90542E-35;;;;
783,4;2,362879880E-28;6,24035E-35;;;;
783,6;2,423181641E-28;6,59362E-35;;;;
783,8;2,484874167E-28;6,96619E-35;;;;
